link,price,currency,type,beds,baths,area,location,down_payment,plan_type
https://www.bayut.eg/en/property/details-501186722.html,"29,500,000",EGP,Townhouse,4.0,4.0,230 Sq. M.,"Village West Compound, Sheikh Zayed, Giza","EGP 2,950,000",
https://www.bayut.eg/en/property/details-501186119.html,"5,600,000",EGP,Apartment,3.0,3.0,157 Sq. M.,"New Cairo, Cairo","EGP 560,000",
https://www.bayut.eg/en/property/details-501186568.html,"14,290,000",EGP,Apartment,3.0,3.0,167 Sq. M.,"Village West Compound, Sheikh Zayed, Giza","EGP 2,858,000",
https://www.bayut.eg/en/property/details-501186399.html,"14,000,000",EGP,Townhouse,4.0,4.0,313 Sq. M.,"Etapa Compound, Sheikh Zayed, Giza","EGP 12,800,000",
https://www.bayut.eg/en/property/details-501186351.html,"1,800,000",EGP,Chalet,2.0,1.0,108 Sq. M.,"Ain Sukhna, Suez",,Off-Plan
https://www.bayut.eg/en/property/details-501186184.html,"42,500,000",EGP,Apartment,5.0,3.0,390 Sq. M.,"El Maadi, Maadi, Cairo",,
https://www.bayut.eg/en/property/details-501186180.html,"5,200,000",EGP,Apartment,4.0,3.0,225 Sq. M.,"Heliopolis, Cairo",,
https://www.bayut.eg/en/property/details-501188709.html,"12,000,000",EGP,Duplex,3.0,3.0,172 Sq. M.,"Azha, North Coast, Matruh","EGP 3,500,000",Off-Plan
https://www.bayut.eg/en/property/details-501188399.html,"51,000,000",EGP,Villa,5.0,5.0,510 Sq. M.,"Hyde Park Compound, 6th of October, Giza","EGP 17,500,000",
https://www.bayut.eg/en/property/details-501188188.html,"9,860,000",EGP,Villa,4.0,3.0,175 Sq. M.,"Sarai, Mostakbal City, Cairo","EGP 1,700,000",Off-Plan
https://www.bayut.eg/en/property/details-501186257.html,"6,800,000",EGP,Apartment,5.0,4.0,270 Sq. M.,"EL Patio Prime, Shorouk City, Cairo","EGP 6,600,000",
https://www.bayut.eg/en/property/details-501186256.html,"6,500,000",EGP,Apartment,5.0,4.0,275 Sq. M.,"EL Patio Prime, Shorouk City, Cairo","EGP 6,600,000",
https://www.bayut.eg/en/property/details-501188570.html,"4,500,000",EGP,Chalet,1.0,1.0,65 Sq. M.,"Ain Sukhna, Suez","EGP 450,000",Off-Plan
https://www.bayut.eg/en/property/details-501188417.html,"8,200,000",EGP,Apartment,3.0,2.0,175 Sq. M.,"5th Settlement, New Cairo, Cairo","EGP 1,640,000",
https://www.bayut.eg/en/property/details-501188327.html,"6,720,000",EGP,Apartment,3.0,2.0,140 Sq. M.,"The Address East Compound, New Cairo, Cairo","EGP 1,340,000",
https://www.bayut.eg/en/property/details-501188899.html,"5,200,000",EGP,Apartment,2.0,2.0,112 Sq. M.,"Rock Yard, Sheraton, Cairo","EGP 600,000",Off-Plan
